id,PublishedAt,Title,URL,Duration,ViewCount,EmbedHtml,NumChats,ChatCount,ChatRate,MedianRate,StdRate,MaxRate
120,2022-02-06 06:20:38,作　業　。,https://www.youtube.com/watch?v=HHZ0xWc0MZE,10:38:43,38,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HHZ0xWc0MZE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 3 6 2 1 3 3 7 4 6 2 5 5 2 4 1 4 2 7 2 1 3 4 4 6 5 2 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 0 1 1 2 1 1 0 1 2 2 2 5 3 2 3 0 0 2 2 0 4 0 1 0 0 0 2 0 1 0 1 4 5 0 0 2 1 2 2 1 1 1 1 2 2 2 1 6 0 2 1 0 0 0 0 1 0 0 1 1 1 0 1 3 0 0 3 1 2 0 2 1 2 0 0 3 2.23,207,1.6,1.0,1.73,7.0
119,2022-02-05 06:08:42,作　業　。,https://www.youtube.com/watch?v=ka011045hmk,4:54:39,26,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ka011045hmk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",4 3 9 3 2 3 3 3 2 1 1 5 3 3 4 4 4 4 4 5 4 5 2 7 4 3 1 1 2 5 3 1 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0.0,117,1.97,2.0,2.04,9.0
118,2022-02-04 06:16:57,作　業　。,https://www.youtube.com/watch?v=19sOEVPc4jU,5:00:27,26,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/19sOEVPc4jU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6 3 1 1 0 1 7 3 2 3 3 7 4 5 0 3 2 4 0 4 1 1 0 0 4 2 1 0 6 7 3 1 2 2 0 0 2 2 3 1 1 4 0 0 0 0 3 0 1 0 1 1 1 1 2 3 5 0 0 4,126,2.07,1.5,1.98,7.0
117,2022-02-03 03:33:59,作　業　。,https://www.youtube.com/watch?v=lwgz3XNlFCY,2:25:00,12,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/lwgz3XNlFCY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 2 2 1 3 3 1 1 0 1 2 3 2 4 0 5 2 1 0 3 6 4 6 3 3 0 0 1 2.0,64,2.21,2.0,1.67,6.0
116,2022-02-02 05:47:56,作　業　。,https://www.youtube.com/watch?v=gMbsX3W1whM,4:28:39,21,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/gMbsX3W1whM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",4 2 5 2 2 1 0 2 1 3 3 2 2 3 2 2 2 1 1 1 2 2 0 1 0 1 0 0 0 2 0 0 1 1 2 3 0 5 3 4 6 3 1 3 2 0 0 0 0 2 4 2 1 1.46,96,1.73,2.0,1.44,6.0
115,2022-01-29 20:52:05,【FF4ﾋﾟｸｾﾙﾘﾏｽﾀｰ】初恋の人がいたゲームをやる配信第2.5回【うさぎいぬ＠Vの者】,https://www.youtube.com/watch?v=vc3GvqyKfmc,5:23:46,49,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vc3GvqyKfmc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 1 2 1 2 5 2 4 4 6 3 6 3 3 2 2 1 3 0 2 0 5 7 5 8 9 1 5 5 3 2 3 1 4 4 5 1 3 4 2 4 2 2 2 0 2 2 0 3 2 1 2 2 2 1 2 1 1 0 2 3 2 3 4 4.52,184,2.79,2.0,1.88,9.0
114,2022-01-29 04:01:38,【雑談】金曜深夜のまったり配信（「雑談」って…？）【うさぎいぬ＠Vの者】,https://www.youtube.com/watch?v=TYUBO8OdCes,2:52:24,36,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TYUBO8OdCes"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 1 1 2 1 4 1 1 0 0 1 1 0 0 0 0 0 0 0 1 1 3 0 4 3 1 2 5 9 2 4 6 2 1 1.44,63,1.76,1.0,1.99,9.0
113,2022-01-28 04:29:38,【XISMO】とあるVの肉体改装修正配信【3D初心者】,https://www.youtube.com/watch?v=o4gwnhUcOpw,3:13:15,35,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/o4gwnhUcOpw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2 1 4 4 2 2 1 1 2 1 2 4 4 2 1 3 7 1 2 1 3 1 1 1 1 1 4 2 1 3 1 1 2 3 1 3 0 1 0.65,78,1.99,2.0,1.37,7.0
112,2022-01-27 15:08:57,【準雑談？】水曜日の定期報告配信。【うさぎいぬ（Vの者）】,https://www.youtube.com/watch?v=o6lT-qyCQXY,1:58:33,12,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/o6lT-qyCQXY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",1 1 1 0 0 5 2 1 2 2 0 1 0 0 0 0 1 1 3 2 3 1 2 0.71,31,1.24,1.0,1.2,5.0
111,2022-01-26 16:08:29,【FF4ﾋﾟｸｾﾙﾘﾏｽﾀｰ】初恋の人がいるゲームをやる配信【うさぎいぬ＠Vの者】,https://www.youtube.com/watch?v=XamvUx9r_S8,2:48:58,30,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/XamvUx9r_S8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",5 3 7 8 7 7 2 4 6 5 4 8 6 6 8 2 3 3 2 3 4 3 4 4 1 5 0 2 2 2 4 2 3 3.17,140,4.06,4.0,2.1,8.0
110,2022-01-25 15:07:27,【XISMO】3D初心者の作業配信【うさぎいぬ@Vの者】,https://www.youtube.com/watch?v=WXhsRr_g5eE,1:57:37,25,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/WXhsRr_g5eE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6 7 3 2 2 3 3 3 3 3 0 5 3 1 1 1 4 5 3 7 3 4 0 1.05,75,3.04,3.0,1.9,7.0
